SKU,Name,Brand,Category,Series,Poles,RatedCurrent_A,Capacity_kVAr,BreakingCapacity_kA,LeakageCurrent_mA,Width_mm,Height_mm,Depth_mm,Pitch_mm,Price_VND
DSP 4P 50A 25kA,Formula DSP MCCB 4P 50A 25kA — 1SDA116243R1,ABB,MCCB,Formula DSP,4,50,,25,,120,130,70,30,3506800
DSP 3P 63A 25kA,Formula DSP MCCB 3P 63A 25kA — 1SDA116233R1,ABB,MCCB,Formula DSP,3,63,,25,,90,130,70,30,2597100
DSP 4P 63A 25kA,Formula DSP MCCB 4P 63A 25kA — 1SDA116244R1,ABB,MCCB,Formula DSP,4,63,,25,,120,130,70,30,3506800
DSP 3P 80A 25kA,Formula DSP MCCB 3P 80A 25kA — 1SDA116234R1,ABB,MCCB,Formula DSP,3,80,,25,,90,130,70,30,2625700
DSP 4P 80A 25kA,Formula DSP MCCB 4P 80A 25kA — 1SDA116245R1,ABB,MCCB,Formula DSP,4,80,,25,,120,130,70,30,3544200
DSP 3P 100A 25kA,Formula DSP MCCB 3P 100A 25kA — 1SDA116235R1,ABB,MCCB,Formula DSP,3,100,,25,,90,130,70,30,2625700
DSP 4P 100A 25kA,Formula DSP MCCB 4P 100A 25kA — 1SDA116246R1,ABB,MCCB,Formula DSP,4,100,,25,,120,130,70,30,3544200
DSP 3P 125A 25kA,Formula DSP MCCB 3P 125A 25kA — 1SDA116236R1,ABB,MCCB,Formula DSP,3,125,,25,,90,130,70,30,3415500
DSP 4P 125A 25kA,Formula DSP MCCB 4P 125A 25kA — 1SDA116249R1,ABB,MCCB,Formula DSP,4,125,,25,,120,130,70,30,4611200
DSP 3P 160A 25kA,Formula DSP MCCB 3P 160A 25kA — 1SDA116237R1,ABB,MCCB,Formula DSP,3,160,,25,,90,130,70,30,4222900
DSP 4P 160A 25kA,Formula DSP MCCB 4P 160A 25kA — 1SDA116250R1,ABB,MCCB,Formula DSP,4,160,,25,,120,130,70,30,5700200
